lcontext,lcontext_highlight,n,rcontext,rcontext_highlight,source,date
"Не хочу чтобы был
музыкантом мой зять! И при чём тут его золотая душа, если нет у него  за душой  ",за душой,ни шиша,.  [Вилли Токарев.  Бедный  бойфренд.(1989) ,Бедный,,
"За что , за каким таким богатством вы тут готовы съесть друг друга , за дырявый карман , в котором",богатством,ни шиша,нет ?  ,нет,Л. М. Каганович. Памятные записки,1991
то уже,,ни шиша,"за душой у тебя нет . кроме упований , ― и начинаешь верить в везение , &laquo; обыкновенное счастье .  ",за,"Юрий Черниченко. Красный остров // &laquo;Огонек&raquo;. № 10,",1991
"Пока он расспрашивал меня , какое у меня",,ни шиша,"( что был в ту пору совсемзапрещен ), и сказал &laquo; триста &raquo;, из-под лавки вдруг вылез ханурик , собиратель пустых бутылок , и , с презрением глядя на меня , сказал &laquo;  ",триста,Андрей Битов. Восьмой немец,1994
"А в чужом городе , где все против тебя , где тебе",,ни шиша,не добьешься .  ,добьешься,Александра Маринина. Черный список,1995
,,ни шиша,...  [Едвард Тополь. Собрание сочинений. (1996) ,,,
"― Кто ж сюда
забрасывает , здесь же мелко !",,Ни шиша,"ты здесь не поймаешь ! Слышь ? Она ужедернула Мишку за руку , тот старательно удерживал удочку и спокойно цедил : ― Обожди . ",поймаешь,Александр Терехов. Коммуналка,1995-2005
Денег ―,Денег,ни шиша,. Выдадут только в Мехико . ,Выдадут,"Евгений Весник. Дарю, что помню",1997
"― Нюх , ты все же там пошеруди по сусекам . Бочкотара - ваша , у - он тревожно сглатывает слюну . ― Нету , Семушкин ,",Нету,ни шиша,"! И
якоря нет . И
паруса нет . Правда , ветра тоже нет .  ",,Марина Вишневецкая. Вышел месяц из тумана,1997
"Вадьку убили ― она всего боится . Если
там есть деньги , она могла не сказать ; если денег на счете нет , тем более моглане сказать ― все равно ты не поверишь . А может , ей стыдно было , что там",деньги,ни шиша,", за Вадима стыдно ,",,,
Вот и,,ни шиша,", &lt;ик&gt; если говорить о Швейцарии . Взяв себя вруки , я поинтересовался , на сколько же тянет мое фифти ? Пятьсот в английски хфунтах , был ответ , но только , старик , такое дело , банковский перевод где-тозатерялся , англичане же олухи , старик , сам знаешь , указали не те реквизиты … я не знаю .  ",фифти,Николай Климонтович. Последняя газета,1997-1999
"Или, может, ты считаешь, - это ты меня
облагодетельствовала, а? Приехал, мол, бедный провинциал,  денег  ",денег,ни шиша,", а тут девушка ему полустоличная в постель - прыг!   ",,Людмила Разумовская. Биография,1998
"Люди эти
идут неведомо куда , повинуясь высокой мечте о справедливости , потому что вслепой вере",,ни шиша,"им не достанется , и все же терзает меня мысль : какты , такой чуткий и сострадательный , не познал истину , вытекающую из основ
Отца нашего . [Анатолий Азольский. Монахи // &laquo;Новый Мир&raquo;,
(2000)] Денег  ",достанется,,
"Она же знала , что ее дочка",,ни шиша,"не получит , вот и постаралась . [Н. Леонов, А. Макеев. Эхо дефолта
(2000-2004)] Но вот однажды Харитон гулял и ровным счетом",получит,"// Труд-7,",2000.08.17
"Значит , теперь по поводу вот этих спасательных средств . Развалили
все средства , нету",средства,ни шиша,. В стране нет,нет,Встреча с родными,"2000) // &laquo;Коммерсантъ-Власть&raquo;, (2000.08.29"
"Развалили все средства , нету",средства,ни шиша,. В стране нет,нет,Встреча с родными,"2000) // &laquo;Коммерсантъ-Власть&raquo;, (2000.08.29"
Не платят,платят,ни шиша,в федеральный бюджет . ,,Встреча с родными,"2000) // &laquo;Коммерсантъ-Власть&raquo;, (2000.08.29"
"Девчонки при
ней сговариваются пойти купить конфет , жвачки , колу . А ее не берут с собой : опять",купить,ни шиша,"у Таньки .  [Азаров Юрий доктор педагогических наук. МАЛЕНЬКИЙ ПРИНЦ ДЕЛАЕТ ШАГ В
ПРОПАСТЬ // Труд-7, (2000.11.29)] ",,,
,,ни шиша,"&raquo;.
 ",,"Марк Амусин. Освобождение // &laquo;Звезда&raquo;,",2002
Это я растерялся ― то не было,было,ни шиша,", то луку мешок … ",луку,Алексей Иванов. Географ глобус пропил,2002
"Тот, кто сегодня победит, наестся досыта,
возьмет хорошую  добычу  и вернется домой героем! Но тот, кто сегодня
побежит, не  получит  ",добычу,ни шиша,"! Ну, горцы! Кто из вас идет домой, стирать
штаны?   ",,Берен Белгарион,2003
На,,ни шиша,"! Обороты на
наших счетах до сих пор нулевые . ",счетах,Семен Данилюк. Бизнес-класс,2003
"Мужики кричат: &laquo;Кто?&raquo; Я говорю: &laquo;Сын!&raquo; - &laquo;Давай
накрывай!&raquo;. А у меня ",,ни шиша,,,,
,,ни шиша,"&laquo;Когда вы возвращаетесь назад, ваша шаль слезла у вас со
спины, чепчик оказывается под мышкой, а ","&laquo;Когда вы возвращаетесь назад, ваша шаль слезла у вас со
спины, чепчик оказывается под мышкой, а ",,
Один из моих сплогов почти ,,ни шиша,,,linkads.ru,2008
че вы как дети - миллион миллион - все ,,ни шиша,,,,
,,ни шиша,  нам не  возместили .  [detkino.ru (2009) ,возместили,,
"С его рукописями, как батрак, возился! Денно и нощно! А
он, Корней, мне ",,ни шиша,  не  заплатил ...  ,заплатил,Елена Крюкова. Время одного вздоха,2010
,,ни шиша,". Чем вы способнее. Тем с большим подозрением
будут на вас смотреть руководители провинциальной российской культуры.  [webkamerton.ru (2010) ",,,
"― Я и есть бедный , ― Гугер напяливал крышку на дымящуюся
плошку . ― У меня",бедный,ни шиша,нету . Зарабатываю воровством вцерквях . ,нету,Алексей Иванов,Алексей Маврин). Псоглавцы. Гл. 1-20 (2011
А вот какие  налоги,налоги,ни шиша,  ?  [ .   ,,,
,,ни шиша,"  не  получила , в основном молодые
коллективы и группы.  [ .   ",получила,,
,,ни шиша,) .  [ .   ,,,
"Судите сами: провозишься пару лет, выиграешь дело, а у
ответчика - ",,ни шиша,.  Долговых ям   в Штатах нет.  [ .   ,Долговых ям,,
,,ни шиша,,,magicbaikal.ru,2011
"И пока она будет генератором смысла в интеллигентном обществе &#8211; будет ясно,
что ",,ни шиша,.   ,,,
"И когда придет пора платить по счетам, а этот день
настанет непременно,  в   кассе  ",в,ни шиша,"  не  останется .  [Эдвин Лефевр.
Воспоминания биржевого спекулянта (2012)] ",останется,,
В переводе на современный русский язык это &#8212; &laquo;не  дадим  ,дадим,ни шиша,!&raquo;  [ .   ,,,
"У  латыша , как известно, в  хозяйстве  хуй да ",латыша,ни шиша,))) [ .   ,,,
я бы не  заплатил  за такой сервис ,заплатил,ни шиша,  )) [ .   ,,,
"В итоге, в конце войны, когда от моих армий
уже ",,ни шиша," не  осталось ,
у меня по прежнему была практически полная база рекрутов.  [ .   ",осталось,,
Денег  ,Денег,ни шиша,.   ,,,
Как раз в это время денег у меня не было,денег,ни шиша,"&#8212; и я сказал
Ире : &laquo; зайди к М ., она же только что позолоченный парашют из
своего холдинга получила &raquo;. [Александра КУЧУК, Митя Гурин . В этот ад Ира пришла самостоятельно, и
оставалась в нем добровольно // Комсомольская правда, (2013.01.11)] В России люди от  продажи  полезных ископаемых
не  имеют  ",продажи,,
"Поэтому , кроме стипендии , не было у меня",стипендии,ни шиша,. ,,Алексей Моторов. Преступление доктора Паровозова,2013
"Александр, а играть-то хочется :) а ",,ни шиша,.   ,,,
Музыканты от дисков не ,,ни шиша,.   ,,,
А наше урководство будет сопли жевать - и ,,ни шиша,.   ,,,
"магазин дал отчет что  деньги 
вернул, а на карте ",деньги,ни шиша,". знаете куда после этого я послала все
покупки через интернет????  [ .   ",,,
А что бздуну  прибыли  с того рекорда? Чего ради напрягался? Пшик да ,прибыли,ни шиша,.  [ .   ,,,
Москали! Вам врали.  Нет  у вас ,Нет,ни шиша,"! Последнее  золото  в виде радиодеталей
вывозят. Вы все умрете!  [ .  (2015)]",золото,,
А без трубы в Европе ,,ни шиша,    [ .  (2015)],,,
На этом сайте ,,ни шиша,"  Вы не  заработаете  поверьте моему
горькому опыту.  [ .  (2015)] ",заработаете,,
"Вчера была в дубовом лесу под
Бабаями, ",,ни шиша,  . Три жалкие маремухи и одна сыроежка.  [ .  (2015)] ,,,
Как я и говорил не  получит  Россия от нацистского  золота  ,получит,ни шиша,.  [ .  (2015)],,,
Под развалинами не  оказалось  ,оказалось,ни шиша,.  [ .  (2016)],,,
Не  найдя   в городе , найдя,ни шиша,"  Бриганд убрался вместе со всей своей шайкой
далеко и, я надеюсь, надолго.  [ .  (2016)]",,,
все права на  собственность  эти убежавшие уже  продали,собственность,ни шиша,    [ .  (2016)],,,
,,Ни шиша,&quot;.  [ .  (2016)],,,
